Category,Model
aluminum_foil,ebsqqe
apron,uxgjdv
bandana,wbhliu
bath_rug,mpxtgf
bath_towel,thmepr
bed_sheet,ivmsdt
bed_sheet,jfsovh
bed_sheet,ldpbcu
bed_sheet,omsbux
bed_sheet,padfds
bed_sheet,xeskbh
bikini,ttgike
blanket,corgks
blanket,dnypbe
blanket,uksirc
blanket,uwbyty
blanket,vwzlnn
blanket,yscwot
blouse,htcikj
boxers,uwzqxm
bra,xzuywj
cardigan,itrkhr
carpet,brrqkq
carpet,ctclvd
carpet,eayztt
carpet,giqcnw
carpet,gvwhfn
carpet,iepqvq
carpet,iqnove
carpet,sehjcp
carpet,stmltt
carpet,vlccww
carpet,vnlbqn
ceremonial_robe,stcrad
crewneck_sweater,ekcjci
crewneck_sweater,eknmzl
curtain,didlbp
curtain,ohvomi
curtain,shbakk
curtain,trwest
curtain,zmodhv
diaper,faedft
dinner_napkin,etxjzg
dinner_napkin,qmpgsg
dinner_napkin,rpccls
dishtowel,dtfspn
dishtowel,ltydgg
doily,exiixv
dress,gtghon
dress,jmujjo
dress_shirt,fmapwe
face_mask,cuoayr
fur_coat,ficvss
half_tortilla,ifxldf
half_tortilla,keraqb
half_wrapping_paper,mntitw
half_wrapping_paper,pjcxni
hammock,aiftuk
hammock,fglfga
hammock,klhkgd
hammock,lqweda
hammock,qewdqa
hammock,sullco
hand_towel,klevhj
hanging_banners,ajcjzr
hanging_banners,bpjqwj
hanging_banners,szdonp
hanging_banners,vfknnl
hoodie,agftpm
jacket,brebdk
jacket,kiiium
jacket,nogevo
jacket,remcyk
jacket,ylycdz
jeans,nmvvil
jeans,pvzxyp
jersey,ojgwec
jersey,wiwont
kid_glove,njidcf
legging,izafif
leotard,ededis
lingerie,efmfdf
lingerie,uaidmc
maillot,rygqoc
mat,ieqyct
microfiber_cloth,zpllxb
national_flag,pchzob
onesie,pbytey
pajamas,rcgdde
pants,tnirgd
paper_liners,yvuilk
paper_towel,mdcnha
pennant,tfnwti
pillowcase,dtoahb
pillowcase,feohwy
pillowcase,yakvci
plastic_bag,fwxfpe
plastic_wrap,nzbhjq
polo_shirt,vqbvph
quilt,getwzm
quilt,gxmcpy
quilt,mksdlu
quilt,prhems
quilt,xewyiz
rag,oocmed
raincoat,wczokr
raw_egg,ydgivr
ribbon,apyxhw
rubber_glove,crbvcg
rubber_glove,feadfc
rubber_glove,gjdier
rubber_glove,hsaxtc
rubber_glove,jkdfea
rubber_glove,leuiso
rubber_glove,rlzvry
sanitary_napkin,axqfpb
sauna_suit,bgvwes
scarf,kclcrj
shorts,rlespi
skirt,qofxar
sleeping_bag,uxqrod
sock,laksie
sock,rhgweu
sock,vpafgj
stocking,imdhfp
sweatshirt,nowqqh
t_shirt,kvidcx
table_runner,mxxyva
table_runner,vyogzt
tablecloth,egtqpa
tablecloth,gwgbkq
tablecloth,sgmepr
tablecloth,shgmwu
tank_top,fzldgi
tank_top,nobisg
tarp,beaglk
tarp,hijmda
tarp,jpawpo
tights,miarwh
vest,girtqm
volleyball_net,ykiiqr
wool_coat,jkcugp
wrapping_paper,hjbesb
yoga_mat,ehrvce
yoga_mat,podgkd
